Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,50.21,77.17,48.37,70.37,28.51,1503549883,,
1999-12-31,01,1999-01,1999,1,4,70.91,83.37,58.15,64.11,26.37,1300826965,-0.07506138197123813,-0.3070022791163931
2000-12-31,01,2000-01,2000,1,3,65.48,92.26,49.62,89.34,37.39,1527213190,0.41789912779673877,1.7092142631148444
2001-12-31,00,2001-00,2001,1,2,89.1,90.89,54.2,56.11,23.94,1522736565,-0.35972185076223584,-1.4712682491549365
2002-12-31,00,2002-00,2002,1,2,56.44,61.55,36.74,54.02,23.65,1868544385,-0.01211361737677541,-0.049544893064172445
2003-12-31,00,2003-00,2003,1,2,54.94,60.59,38.71,44.08,21.0,1871085579,-0.11205073995771664,-0.4582893578601919
2004-12-31,00,2004-00,2004,1,2,46.64,47.07,24.43,30.67,15.17,2816193981,-0.27761904761904765,-1.1354664423555143
2005-12-31,01,2005-01,2005,1,3,30.52,34.6,24.33,30.35,15.79,2623616649,0.04087013843111409,0.16715953419246043
2006-12-31,01,2006-01,2006,1,3,31.03,44.25,30.35,41.6,22.52,2569650937,0.42621912602913237,1.7432431918730162
2007-12-31,00,2007-00,2007,1,3,42.01,58.8,40.41,55.45,30.94,3010419410,0.3738898756660747,1.5292157025834254
2008-12-31,00,2008-00,2008,1,2,55.49,58.38,21.77,29.01,16.91,4861392288,-0.4534583063994829,-1.8546518848033497
2009-12-31,00,2009-00,2009,1,2,29.06,36.66,19.13,34.87,21.43,4974660026,0.267297457125961,1.093250968535729
2010-12-31,01,2010-01,2010,1,4,35.13,39.66,29.29,34.39,22.05,4024327543,0.028931404573028452,0.11832991757814376
2011-12-31,01,2011-01,2011,1,3,34.63,36.16,28.12,35.97,24.16,4444881454,0.09569160997732418,0.39138024885569433
2012-12-31,01,2012-01,2012,1,3,36.15,45.8,35.22,39.06,27.33,3508048895,0.131208609271523,0.5366453564828423
2013-12-31,00,2013-00,2013,1,2,39.94,48.11,38.96,47.76,34.67,3977944951,0.26856933772411273,1.0984529809706471
2014-12-31,00,2014-00,2014,1,2,47.6,59.35,47.04,54.19,40.53,2772383707,0.1690222094029421,0.6913035990714195
2015-12-31,00,2015-00,2015,1,2,54.6,60.71,43.6,50.4,38.96,2947134664,-0.03873673821860346,-0.158433892453555
2016-12-31,01,2016-01,2016,1,4,49.63,62.46,45.77,56.17,44.82,2689576199,0.1504106776180698,0.6151821298718199
2017-12-31,01,2017-01,2017,1,3,56.44,63.74,51.17,53.69,44.16,2571619184,-0.014725568942436484,-0.060227817659230416
2018-12-31,00,2018-00,2018,1,2,54.0,76.52,50.41,72.91,61.8,2981856270,0.3994565217391304,1.6337837029007904
2019-12-31,00,2019-00,2019,1,2,71.84,88.4,68.75,86.78,75.56,2574389785,0.22265372168284792,0.9106573608859693
2020-12-31,00,2020-00,2020,1,2,86.91,87.92,62.26,78.05,70.12,2722387403,-0.0719957649550026,-0.2944638554134704
2021-12-31,01,2021-01,2021,1,4,78.24,91.4,68.44,76.64,71.35,3250676950,0.017541357672561153,0.07174443958859707
2022-12-31,01,2022-01,2022,1,3,76.58,112.89,72.88,110.95,106.61,2657953600,0.4941836019621584,2.021219009296486
2023-12-31,01,2023-01,2023,1,3,110.41,119.65,99.14,109.02,107.69,1918609700,0.01013038176531289,0.04143342699794563
