Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio,^DJI,Portfolio Returns
1998-12-31,0,1998-00,1998,1,2,7910.2,9380.2,7400.3,9181.43,9181.43,17063740000,,,,
1999-12-31,1,1999-01,1999,1,4,9184.01,11568.77,9063.26,11497.12,11497.12,24892790000,0.2522145243170182,1.7053209887360634,0.2522145243170182,125.22145243170182
2000-12-31,1,2000-01,2000,1,3,11501.85,11750.28,9654.64,10787.99,10787.99,51607850000,-0.0616789248089957,-0.4170353207226326,-0.06167892480899573,117.49792788269365
2001-12-31,0,2001-00,2001,1,2,10790.92,11350.05,8062.34,10021.57,10021.57,59742550000,-0.0710438181718744,-0.4803550254550953,-0.07104381817187444,109.15042645862354
2002-12-31,0,2002-00,2002,1,2,10021.71,10673.1,7197.49,8341.63,8341.63,66317960000,-0.1676324168767967,-1.13342829746489,-0.16763241687679675,90.8532766682314
2003-12-31,0,2003-00,2003,1,2,8342.38,10462.44,7416.64,10453.92,10453.92,56050110000,0.2532226914883544,1.7121376010707017,0.2532226914883544,113.85938791669707
2004-12-31,0,2004-00,2004,1,2,10452.74,10868.07,9708.4,10783.01,10783.01,55494050000,0.0314800572416853,0.2128489724619575,0.031480057241685344,117.44368796581794
2005-12-31,1,2005-01,2005,1,3,10783.75,10984.46,10000.46,10717.5,10717.5,63577320000,-0.0060752980846721,-0.0410774651645241,-0.006075298084672109,116.73018255326238
2006-12-31,1,2006-01,2006,1,3,10718.3,12529.88,10661.15,12463.15,12463.15,68377950000,0.1628784697923955,1.1012850029249608,0.1628784697923955,135.74301606612474
2007-12-31,0,2007-00,2007,1,3,12459.54,14198.1,11939.61,13264.82,13264.82,61484320000,0.0643232248669076,0.4349144670623779,0.06432322486690767,144.47444461265832
2008-12-31,0,2008-00,2008,1,2,13261.82,13279.54,7449.38,8776.39,8776.39,70009240000,-0.3383709692253646,-2.287858391032572,-0.3383709692253646,95.58848676077687
2009-12-31,0,2009-00,2009,1,2,8772.25,10580.33,6469.95,10428.05,10428.05,70573540000,0.1881935511070041,1.2724501632751222,0.1881935511070041,113.57762352923233
2010-12-31,1,2010-01,2010,1,4,10430.69,11625.0,9614.32,11577.51,11577.51,50851930000,0.1102277031659804,0.74529258875212,0.1102277031659804,126.09702410191002
2011-12-31,1,2011-01,2011,1,3,11577.43,12876.0,10404.49,12217.56,12217.56,45464150000,0.0552839081978766,0.3737961136238792,0.05528390819787665,133.06816040638546
2012-12-31,1,2012-01,2012,1,3,12221.19,13661.87,12035.09,13104.14,13104.14,32815150000,0.0725660442838014,0.4906473912310183,0.07256604428380142,142.7243904271992
2013-12-31,0,2013-00,2013,1,2,13104.3,16588.25,13104.3,16576.66,16576.66,29847730000,0.2649941163632257,1.7917288060610057,0.2649941163632257,180.54551415193487
2014-12-31,0,2014-00,2014,1,2,16572.17,18103.45,15340.69,17823.07,17823.07,23407060000,0.0751906596383107,0.5083934415963726,0.07519065963831073,194.12085045575682
2015-12-31,0,2015-00,2015,1,2,17823.07,18351.36,15370.33,17425.03,17425.03,27567720000,-0.022332852869904,-0.1510011480922157,-0.022332852869904052,189.78557806354777
2016-12-31,1,2016-01,2016,1,4,17405.48,19987.63,15450.56,19762.6,19762.6,29536640000,0.134150127718575,0.9070414523493536,0.13415012771857504,215.2453375999163
2017-12-31,1,2017-01,2017,1,3,19872.86,24876.07,19677.94,24719.22,24719.22,78121590000,0.2508080920526652,1.6958115504270226,0.2508080920526652,269.2306100465831
2018-12-31,0,2018-00,2018,1,2,24809.35,26951.81,21712.53,23327.46,23327.46,90202130000,-0.0563027474167875,-0.3806848838438381,-0.056302747416787535,254.07218701226273
2019-12-31,0,2019-00,2019,1,2,23058.61,28701.66,22638.41,28538.44,28538.44,69140750000,0.2233839432154207,1.5103861601287565,0.22338394321542077,310.82783400842777
2020-12-31,0,2020-00,2020,1,2,28638.97,30637.47,18213.65,30606.48,30606.48,106187440000,0.0724650681677063,0.4899646522388677,0.07246506816770637,333.35199418826903
2021-12-31,1,2021-01,2021,1,4,30627.47,36679.44,29856.3,36338.3,36338.3,85755510000,0.187274720908775,1.266237593137191,0.18727472090877506,395.78039586426075
2022-12-31,1,2022-01,2022,1,3,36321.59,36952.65,28660.94,33147.25,33147.25,92012480000,-0.0878150601431547,-0.5937519482462928,-0.08781506014315477,361.0249165979591
2023-12-31,1,2023-01,2023,1,3,33148.9,37778.85,31429.82,37689.54,37689.54,78783250000,0.1370336905776497,0.9265383480148028,0.1370336905776497,410.49749330986555
